number_of_patches,max_patch,second_max,total_patch_area,data_set_name,region,subregion,threshold,year,regsub,mean_max_patch,prop_max_patch,prop_second_max,delta_max_patch,delta_prop_max_patch,delta_year_patch,delta_year_prop_patch
6521,577962.2738609217,69300.49115626716,701606.4372025123,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2015065.051.Percent_Tree_Cover,OC,5,30,2015,OC5,631344.1230645945,0.8237699131801127,0.09877402412752409,-53381.849203672726,-0.07608517592358484,27003.73284465482,0.002213728281988514
6067,662317.7656078532,17822.73171037989,718717.7163450663,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2000065.051.Percent_Tree_Cover,OC,5,32.5,2000,OC5,615810.0682763751,0.9215269785973458,0.024797957953526985,46507.69733147812,0.06470926801134971,NA,NA
6952,625250.2710717951,8202.389678365924,672452.0316077805,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2001065.051.Percent_Tree_Cover,OC,5,32.5,2001,OC5,615810.0682763751,0.929806501702241,0.012197732020757895,9440.202795420075,0.014038477618766776,-37067.494536058046,0.008279523104895214
6495,583234.9473135136,70173.3461493269,707770.3200755406,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2002065.051.Percent_Tree_Cover,OC,5,32.5,2002,OC5,615810.0682763751,0.8240455000306663,0.09914705965889792,-32575.12096286146,-0.046024988670596845,-42015.323758281535,-0.10576100167157465
6464,672248.6762055099,22453.291543723182,716681.8316014259,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2003065.051.Percent_Tree_Cover,OC,5,32.5,2003,OC5,615810.0682763751,0.9380015601949472,0.03132951130287661,56438.60792913486,0.07874987957071936,89013.72889199632,0.11395606016428084
5925,607322.3655788649,70654.93136422058,720636.4823613229,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2004065.051.Percent_Tree_Cover,OC,5,32.5,2004,OC5,615810.0682763751,0.8427582844388346,0.09804517685907917,-8487.702697510133,-0.011778064121453193,-64926.31062664499,-0.09524327575611258
6672,602911.7675345098,73136.27514807516,718121.0517836781,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2005065.051.Percent_Tree_Cover,OC,5,32.5,2005,OC5,615810.0682763751,0.8395684349274958,0.10184393698864329,-12898.3007418653,-0.01796117898205092,-4410.598044355167,-0.003189849511338827
6383,585405.7225322489,72402.68073129156,699537.922365671,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2006065.051.Percent_Tree_Cover,OC,5,32.5,2006,OC5,615810.0682763751,0.8368463007016773,0.10350072300075298,-30404.345744126127,-0.04346347034526142,-17506.045002260827,-0.002722134225818462
6959,590500.9698535866,72124.45091873067,713676.9496257682,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2007065.051.Percent_Tree_Cover,OC,5,32.5,2007,OC5,615810.0682763751,0.827406531993542,0.10106036205393865,-25309.098422788433,-0.03546296182896169,5095.247321337694,-0.009439768708135343
7514,594033.1774425794,19691.095886246898,661602.8169586117,oceania_OC_5_32.5_perc_threshold_in_MOD44B.MRTWEB.A2008065.051.Percent_Tree_Cover,OC,5,32.5,2008,OC5,615810.0682763751,0.8978697826187471,0.02976271470059162,-21776.890833795653,-0.03291535385823178,3532.20758899278,0.07046325062520509
